verb	sentence	agent	theme	recipient	informativity	order	gameID	audio_file
throw	 The cowboy throws the book to the boxer	cowboy	book	boxer	low	PO	01HNBS2SVAY9VKSWBS74WJYD0K	8f197051-d506-4e9e-82ec-88ad74f31c22.mp4
sell	 The chef sells the cake to the sailor	chef	cake	sailor	control	PO	01HNBS2SVAY9VKSWBS74WJYD0K	8f197051-d506-4e9e-82ec-88ad74f31c22.mp4
offer	 The cowboy offered the monk a banana	cowboy	banana	monk	high	DO	01HNBS2WSJGRZVRJ2W9Y8M3F4E	5400890a-70cf-4b12-8006-c29820d781db.mp4
toss	 The old cowboy tossed the ball to the ugly clown	cowboy	ball	clown	low	PO	01HNBS2WSJGRZVRJ2W9Y8M3F4E	5400890a-70cf-4b12-8006-c29820d781db.mp4
show	 The one-eyed pirate tried to show a book to a gay soldier	pirate	book	soldier	low	PO	01HNBS2WSJGRZVRJ2W9Y8M3F4E	5400890a-70cf-4b12-8006-c29820d781db.mp4
offer	 The cowboy offered banana to the monk	cowboy	banana	monk	high	PO	01HNBS38DH1VJ8W9H090SZQ11F	{7cd15a3c-fd19-4cfa-8f90-a0dc256b35a2}.mp4
give	 Okay, the pirate gave the monk an apple	pirate	apple	monk	control	DO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
offer	 The artist offers the sailor an apple	artist	apple	sailor	control	DO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
sell	 The pirate sells a ball to the clown	pirate	ball	clown	high	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
toss	 The cowboy tosses the ball to the clown	cowboy	ball	clown	low	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
show	 The waitress is showing the banana to the doctor	waitress	banana	doctor	high	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
throw	 The cowboy throws the book to the boxer	cowboy	book	boxer	low	PO	01HNE558VY3222KFRWBCT5QJ22	fb0255b3-ce1f-44e8-b830-c3758d7246a0.mp4
sell	 The chef sold a cake to the sailor	chef	cake	sailor	control	PO	01HNE55DFGD85BRE16YTCEEX2M	{b004413a-a942-4a54-b47b-1105ecdacaf2}.mp4
throw	 The cowboy throws a book at the boxer	cowboy	book	boxer	low	PO	01HNE55DFGD85BRE16YTCEEX2M	{b004413a-a942-4a54-b47b-1105ecdacaf2}.mp4
give	 The chef gives a ball to the monk	chef	ball	monk	low	PO	01HNE55DFGD85BRE16YTCEEX2M	{b004413a-a942-4a54-b47b-1105ecdacaf2}.mp4
show	 The waitress gives a banana to a doctor, shows a banana to a doctor	waitress	banana	doctor	high	PO	01HNE55DFGD85BRE16YTCEEX2M	{b004413a-a942-4a54-b47b-1105ecdacaf2}.mp4
toss	 The cowboy throws a banana tosses a banana to a clown	cowboy	banana	clown	high	PO	01HNE55DFGD85BRE16YTCEEX2M	{b004413a-a942-4a54-b47b-1105ecdacaf2}.mp4
offer	 A cowboy offers a monk a banana	cowboy	banana	monk	high	DO	01HNE55NV8Z7DF73YJBCFEY748	48cfb7e4-9417-4b79-9213-91d7a5d12a55.mp4
give	 A pirate is giving an apple to the monk	pirate	apple	monk	control	PO	01HNE55NV8Z7DF73YJBCFEY748	48cfb7e4-9417-4b79-9213-91d7a5d12a55.mp4
sell	 A pirate is selling a clown a ball	pirate	ball	clown	high	DO	01HNE55NV8Z7DF73YJBCFEY748	48cfb7e4-9417-4b79-9213-91d7a5d12a55.mp4
throw	 A cowboy throws a book at a boxer	cowboy	book	boxer	low	PO	01HNE55NV8Z7DF73YJBCFEY748	48cfb7e4-9417-4b79-9213-91d7a5d12a55.mp4
offer	 The cowboy offers a banana to a monk	cowboy	banana	monk	high	PO	01HNE67ME07H3M3MG5YM4R6M0B	e7c1b1f4-d049-423f-8f91-03470d2f7cbd.mp4
show	 The waitress shows a banana to a doctor	waitress	banana	doctor	high	PO	01HNE67ME07H3M3MG5YM4R6M0B	e7c1b1f4-d049-423f-8f91-03470d2f7cbd.mp4
throw	 The cowboy throws a book at the boxer	cowboy	book	boxer	low	PO	01HNE67ME07H3M3MG5YM4R6M0B	e7c1b1f4-d049-423f-8f91-03470d2f7cbd.mp4
sell	 The chef sells a cake to a sailor	chef	cake	sailor	control	PO	01HNE67ME07H3M3MG5YM4R6M0B	e7c1b1f4-d049-423f-8f91-03470d2f7cbd.mp4
give	 The chef gives a ball to the monk	chef	ball	monk	low	PO	01HNE67ME07H3M3MG5YM4R6M0B	e7c1b1f4-d049-423f-8f91-03470d2f7cbd.mp4
toss	 The cowboy tosses a banana to the soldier	cowboy	banana	soldier	control	PO	01HNE67ME07H3M3MG5YM4R6M0B	e7c1b1f4-d049-423f-8f91-03470d2f7cbd.mp4
throw	 The cowboy throws a book at the boxer	cowboy	book	boxer	low	PO	01HNE6943WZXFB8V6JBB1GD6GT	{5adf865f-ba75-4805-8375-c62d442a7f40}.mp4
sell	 The chef sells the cake to the sailor	chef	cake	sailor	control	PO	01HNE6943WZXFB8V6JBB1GD6GT	{5adf865f-ba75-4805-8375-c62d442a7f40}.mp4
give	 The pirate gives the apple to the monk	pirate	apple	monk	control	PO	01HNE6943WZXFB8V6JBB1GD6GT	{5adf865f-ba75-4805-8375-c62d442a7f40}.mp4
offer	 The artist offered the book to the doctor	artist	book	doctor	low	PO	01HNE6982Y2J0Q88WZCPQRSBW4	1dd57fd5-07f4-4547-a501-67cdd32f8fce.mp4
throw	 The ballerina is throwing the hat at the swimmer	ballerina	hat	swimmer	control	PO	01HNE6982Y2J0Q88WZCPQRSBW4	1dd57fd5-07f4-4547-a501-67cdd32f8fce.mp4
give	 The pirate is giving the apple to the doctor	pirate	apple	doctor	high	PO	01HNE6982Y2J0Q88WZCPQRSBW4	1dd57fd5-07f4-4547-a501-67cdd32f8fce.mp4
show	 The pirate is showing the book to the soldier	pirate	book	soldier	low	PO	01HNE6982Y2J0Q88WZCPQRSBW4	1dd57fd5-07f4-4547-a501-67cdd32f8fce.mp4
toss	 The cowboy is tossing the banana to the clown	cowboy	banana	clown	high	PO	01HNE6982Y2J0Q88WZCPQRSBW4	1dd57fd5-07f4-4547-a501-67cdd32f8fce.mp4
sell	 The chef is selling the cake to the sailor	chef	cake	sailor	control	PO	01HNE6982Y2J0Q88WZCPQRSBW4	1dd57fd5-07f4-4547-a501-67cdd32f8fce.mp4
throw	 The cowboy threw a book at the boxer	cowboy	book	boxer	low	PO	01HNE7H8YZ937B5P2KNSHWGJ0K	a5222521-532f-4a2a-8ed1-2353b4dcf4d6.mp4
give	 The pirate gave the apple to the doctor	pirate	apple	doctor	high	PO	01HNE7H8YZ937B5P2KNSHWGJ0K	a5222521-532f-4a2a-8ed1-2353b4dcf4d6.mp4
sell	 The chef sold the cake to the sailor	chef	cake	sailor	control	PO	01HNE7H8YZ937B5P2KNSHWGJ0K	a5222521-532f-4a2a-8ed1-2353b4dcf4d6.mp4
show	 The waitress showed the clown the apple	waitress	apple	clown	control	DO	01HNE7H8YZ937B5P2KNSHWGJ0K	a5222521-532f-4a2a-8ed1-2353b4dcf4d6.mp4
offer	 The cowboy offered the monk a banana	cowboy	banana	monk	high	DO	01HNE7H8YZ937B5P2KNSHWGJ0K	a5222521-532f-4a2a-8ed1-2353b4dcf4d6.mp4
give	 The pirate gives the monk an apple	pirate	apple	monk	control	DO	01HNE9NTY4JMRRPCY1XTVV5X36	632ad6c0-ef36-4106-aace-c7bb09d4d070.mp4
show	 The waitress showed the doctor the banana	waitress	banana	doctor	high	DO	01HNE9NTY4JMRRPCY1XTVV5X36	632ad6c0-ef36-4106-aace-c7bb09d4d070.mp4
sell	 The chef sold the cake to the sailor	chef	cake	sailor	control	PO	01HNE9NTY4JMRRPCY1XTVV5X36	632ad6c0-ef36-4106-aace-c7bb09d4d070.mp4
throw	 The cowboy threw the doctor the gun	cowboy	gun	doctor	high	DO	01HNE9NTY4JMRRPCY1XTVV5X36	632ad6c0-ef36-4106-aace-c7bb09d4d070.mp4
toss	 The cowboy tossed the clown the ball	cowboy	ball	clown	low	DO	01HNE9NTY4JMRRPCY1XTVV5X36	632ad6c0-ef36-4106-aace-c7bb09d4d070.mp4
toss	 Um, the cowboy's tossing the banana to the- what is he- uh, the soldier	cowboy	banana	soldier	control	PO	01HNE9NVHBG03JFTJC1PN9BWYZ	13dda47f-ca12-40e0-b080-16ce8b7477b0.mp4
throw	 Um, cowboy's throwing the book to the boxer	cowboy	book	boxer	low	PO	01HNE9NVHBG03JFTJC1PN9BWYZ	13dda47f-ca12-40e0-b080-16ce8b7477b0.mp4
show	 The waitress showed the doctor the banana	waitress	banana	doctor	high	DO	01HNE9NW33RCZCCARWJQFXF39S	f6f377e0-2b95-4be8-ba66-c0cae06d0df8.mp4
throw	 The cowboy threw a book at the boxer	cowboy	book	boxer	low	PO	01HNE9NW33RCZCCARWJQFXF39S	f6f377e0-2b95-4be8-ba66-c0cae06d0df8.mp4
give	 The pirate gave the doctor an apple	pirate	apple	doctor	high	DO	01HNE9NW33RCZCCARWJQFXF39S	f6f377e0-2b95-4be8-ba66-c0cae06d0df8.mp4
toss	 The cowboy tossed the ball to the clown	cowboy	ball	clown	low	PO	01HNE9NW33RCZCCARWJQFXF39S	f6f377e0-2b95-4be8-ba66-c0cae06d0df8.mp4
sell	 The chef sold the cake to the sailor	chef	cake	sailor	control	PO	01HNE9NW33RCZCCARWJQFXF39S	f6f377e0-2b95-4be8-ba66-c0cae06d0df8.mp4
offer	 The artist offered the apple to the sailor	artist	apple	sailor	control	PO	01HNE9NW33RCZCCARWJQFXF39S	f6f377e0-2b95-4be8-ba66-c0cae06d0df8.mp4
toss	 I'm just not sure which of the four images match because it's the cowboy tossing either a ball or a book to a sailor or a clown	cowboy	ball	clown	low	PO	01HNE9PBV0187W08V6HGQH16TX	646aab70-2780-4d26-bf4f-f919908bfe87.mp4
give	 And from what it looks like, we have a pirate giving an apple to the doctor	pirate	apple	doctor	high	PO	01HNE9PBV0187W08V6HGQH16TX	646aab70-2780-4d26-bf4f-f919908bfe87.mp4
throw	 The cowboy is throwing a book to the boxer	cowboy	book	boxer	low	PO	01HNE9PBV0187W08V6HGQH16TX	646aab70-2780-4d26-bf4f-f919908bfe87.mp4
offer	 I think, yeah, I think the painter is offering an apple to the sailor	artist	apple	sailor	control	PO	01HNE9PBV0187W08V6HGQH16TX	646aab70-2780-4d26-bf4f-f919908bfe87.mp4
show	hello all right the artist examined the palette the ballerina bit the apple the pirate gave the apple to the monk the cowboy tossed the ball to the clown the artist offered the apple to the sailor the waitress showed the banana to the doctor the chef's hat burned the artist reached for the cup the waitress touched the swimmer the waitress caught the doctor the pirate smiled at the monk the ballerina washed the gun the chef offered the book no the chef sold the book to the doctor the chef fought the sailor the waitress ran to the soldier the cowboy threw the gun to the doctor the chef cut the cake excellent oh more the chef laughed at the burglar all right	waitress	banana	doctor	high	PO	01HNE9PDCA8K6AFT27AM4CEHFD	e5fba755-0ba6-4ce9-90d5-00ecc5211122.mp4
give	hello all right the artist examined the palette the ballerina bit the apple the pirate gave the apple to the monk the cowboy tossed the ball to the clown the artist offered the apple to the sailor the waitress showed the banana to the doctor the chef's hat burned the artist reached for the cup the waitress touched the swimmer the waitress caught the doctor the pirate smiled at the monk the ballerina washed the gun the chef offered the book no the chef sold the book to the doctor the chef fought the sailor the waitress ran to the soldier the cowboy threw the gun to the doctor the chef cut the cake excellent oh more the chef laughed at the burglar all right	pirate	apple	monk	control	PO	01HNE9PDCA8K6AFT27AM4CEHFD	e5fba755-0ba6-4ce9-90d5-00ecc5211122.mp4
offer	hello all right the artist examined the palette the ballerina bit the apple the pirate gave the apple to the monk the cowboy tossed the ball to the clown the artist offered the apple to the sailor the waitress showed the banana to the doctor the chef's hat burned the artist reached for the cup the waitress touched the swimmer the waitress caught the doctor the pirate smiled at the monk the ballerina washed the gun the chef offered the book no the chef sold the book to the doctor the chef fought the sailor the waitress ran to the soldier the cowboy threw the gun to the doctor the chef cut the cake excellent oh more the chef laughed at the burglar all right	artist	apple	sailor	control	PO	01HNE9PDCA8K6AFT27AM4CEHFD	e5fba755-0ba6-4ce9-90d5-00ecc5211122.mp4
sell	hello all right the artist examined the palette the ballerina bit the apple the pirate gave the apple to the monk the cowboy tossed the ball to the clown the artist offered the apple to the sailor the waitress showed the banana to the doctor the chef's hat burned the artist reached for the cup the waitress touched the swimmer the waitress caught the doctor the pirate smiled at the monk the ballerina washed the gun the chef offered the book no the chef sold the book to the doctor the chef fought the sailor the waitress ran to the soldier the cowboy threw the gun to the doctor the chef cut the cake excellent oh more the chef laughed at the burglar all right	chef	book	doctor	low	PO	01HNE9PDCA8K6AFT27AM4CEHFD	e5fba755-0ba6-4ce9-90d5-00ecc5211122.mp4
throw	hello all right the artist examined the palette the ballerina bit the apple the pirate gave the apple to the monk the cowboy tossed the ball to the clown the artist offered the apple to the sailor the waitress showed the banana to the doctor the chef's hat burned the artist reached for the cup the waitress touched the swimmer the waitress caught the doctor the pirate smiled at the monk the ballerina washed the gun the chef offered the book no the chef sold the book to the doctor the chef fought the sailor the waitress ran to the soldier the cowboy threw the gun to the doctor the chef cut the cake excellent oh more the chef laughed at the burglar all right	cowboy	gun	doctor	high	PO	01HNE9PDCA8K6AFT27AM4CEHFD	e5fba755-0ba6-4ce9-90d5-00ecc5211122.mp4
toss	hello all right the artist examined the palette the ballerina bit the apple the pirate gave the apple to the monk the cowboy tossed the ball to the clown the artist offered the apple to the sailor the waitress showed the banana to the doctor the chef's hat burned the artist reached for the cup the waitress touched the swimmer the waitress caught the doctor the pirate smiled at the monk the ballerina washed the gun the chef offered the book no the chef sold the book to the doctor the chef fought the sailor the waitress ran to the soldier the cowboy threw the gun to the doctor the chef cut the cake excellent oh more the chef laughed at the burglar all right	cowboy	ball	clown	low	PO	01HNE9PDCA8K6AFT27AM4CEHFD	e5fba755-0ba6-4ce9-90d5-00ecc5211122.mp4
sell	 The chef is selling a book to the doctor	chef	book	doctor	low	PO	01HNEACFH7CAJ9F5B7HRF69WQ2	{e430022f-7eff-48fd-9988-c4911a154853}.mp4
offer	 The cowboy is offering a banana to the monk	cowboy	banana	monk	high	PO	01HNEACFH7CAJ9F5B7HRF69WQ2	{e430022f-7eff-48fd-9988-c4911a154853}.mp4
throw	 The cowboy is throwing the book to the boxer	cowboy	book	boxer	low	PO	01HNEACFH7CAJ9F5B7HRF69WQ2	{e430022f-7eff-48fd-9988-c4911a154853}.mp4
sell	 Yeah, the chef's trying to sell the sailor a cake	chef	cake	sailor	control	DO	01HNEACM6W2TA3S0XP61VKXDV5	5eaad3fd-c846-4a3b-8166-be0e430174be.mp4
throw	 Cowboy's throwing a book at the boxer	cowboy	book	boxer	low	PO	01HNEACM6W2TA3S0XP61VKXDV5	5eaad3fd-c846-4a3b-8166-be0e430174be.mp4
offer	 The painter's offering the sailor an apple	artist	apple	sailor	control	DO	01HNEACM6W2TA3S0XP61VKXDV5	5eaad3fd-c846-4a3b-8166-be0e430174be.mp4
show	 The waitress is showing the doctor a banana	waitress	banana	doctor	high	DO	01HNEACM6W2TA3S0XP61VKXDV5	5eaad3fd-c846-4a3b-8166-be0e430174be.mp4
give	 The pirate gave the apple to the monk	pirate	apple	monk	control	PO	01HNEADG7NDGA9QM5XG0AY8GNM	fcdcbed6-38e1-4c1f-83c7-bd4850ec9c42.mp4
toss	 The cowboy tossed the banana to the soldier	cowboy	banana	soldier	control	PO	01HNEADG7NDGA9QM5XG0AY8GNM	fcdcbed6-38e1-4c1f-83c7-bd4850ec9c42.mp4
throw	 The cowboy threw the gun to the doctor	cowboy	gun	doctor	high	PO	01HNEADG7NDGA9QM5XG0AY8GNM	fcdcbed6-38e1-4c1f-83c7-bd4850ec9c42.mp4
sell	 The pirate sold ball to the clown	pirate	ball	clown	high	PO	01HNEADG7NDGA9QM5XG0AY8GNM	fcdcbed6-38e1-4c1f-83c7-bd4850ec9c42.mp4
show	Hello, hello, I can hear you, great, all right, I'm hitting continue, great, okay, the chef wanted to sell a book to the doctor, okay, continue, the waitress tried to catch the guy falling, junior tried to reach for the glass, the cowboy was throwing his gun, oh, the, hold on, the cowboy was throwing his gun to the doctor, the naked guy is taking a bite out of something, it looks like a whistle, okay, it looks like it worked, all right, the chef is laughing at the robber, the poet is making an offer for the book to the doctor, okay, the waitress is showing an apple to the clown, the waitress is running, cowboy tossing a banana to the kid, princess washing something, that's what it looked like, my, yeah, it looked like something else that was x-rated to me first and then a gun, all righty, let's see, chef is cutting a cake, waitress touching a snorkeler, pirate giving an apple to the doctor, kid smiling at the monk, chef fighting with sailor, chef burning his hat, chef is burning his hat, all righty, let's see, kid is, oh, artist is swiping his palette, actually he is, yes, artist is, yes, snapping a picture with an invisible camera of his palette, okay, continue, sorry, oh, I'm sorry to hear that, well, this was more fun than I thought it would be, oh, thank you, and I think we're, I'm copying my completion code, so you have a great night, thanks, bye	waitress	apple	clown	control	PO	01HNEAMRJGM9S41MEY2CXGZAV6	1950c301-eeb6-45b5-af75-0e86ef8c8526.mp4
give	Hello, hello, I can hear you, great, all right, I'm hitting continue, great, okay, the chef wanted to sell a book to the doctor, okay, continue, the waitress tried to catch the guy falling, junior tried to reach for the glass, the cowboy was throwing his gun, oh, the, hold on, the cowboy was throwing his gun to the doctor, the naked guy is taking a bite out of something, it looks like a whistle, okay, it looks like it worked, all right, the chef is laughing at the robber, the poet is making an offer for the book to the doctor, okay, the waitress is showing an apple to the clown, the waitress is running, cowboy tossing a banana to the kid, princess washing something, that's what it looked like, my, yeah, it looked like something else that was x-rated to me first and then a gun, all righty, let's see, chef is cutting a cake, waitress touching a snorkeler, pirate giving an apple to the doctor, kid smiling at the monk, chef fighting with sailor, chef burning his hat, chef is burning his hat, all righty, let's see, kid is, oh, artist is swiping his palette, actually he is, yes, artist is, yes, snapping a picture with an invisible camera of his palette, okay, continue, sorry, oh, I'm sorry to hear that, well, this was more fun than I thought it would be, oh, thank you, and I think we're, I'm copying my completion code, so you have a great night, thanks, bye	pirate	apple	doctor	high	PO	01HNEAMRJGM9S41MEY2CXGZAV6	1950c301-eeb6-45b5-af75-0e86ef8c8526.mp4
offer	Hello, hello, I can hear you, great, all right, I'm hitting continue, great, okay, the chef wanted to sell a book to the doctor, okay, continue, the waitress tried to catch the guy falling, junior tried to reach for the glass, the cowboy was throwing his gun, oh, the, hold on, the cowboy was throwing his gun to the doctor, the naked guy is taking a bite out of something, it looks like a whistle, okay, it looks like it worked, all right, the chef is laughing at the robber, the poet is making an offer for the book to the doctor, okay, the waitress is showing an apple to the clown, the waitress is running, cowboy tossing a banana to the kid, princess washing something, that's what it looked like, my, yeah, it looked like something else that was x-rated to me first and then a gun, all righty, let's see, chef is cutting a cake, waitress touching a snorkeler, pirate giving an apple to the doctor, kid smiling at the monk, chef fighting with sailor, chef burning his hat, chef is burning his hat, all righty, let's see, kid is, oh, artist is swiping his palette, actually he is, yes, artist is, yes, snapping a picture with an invisible camera of his palette, okay, continue, sorry, oh, I'm sorry to hear that, well, this was more fun than I thought it would be, oh, thank you, and I think we're, I'm copying my completion code, so you have a great night, thanks, bye	artist	book	doctor	low	PO	01HNEAMRJGM9S41MEY2CXGZAV6	1950c301-eeb6-45b5-af75-0e86ef8c8526.mp4
sell	Hello, hello, I can hear you, great, all right, I'm hitting continue, great, okay, the chef wanted to sell a book to the doctor, okay, continue, the waitress tried to catch the guy falling, junior tried to reach for the glass, the cowboy was throwing his gun, oh, the, hold on, the cowboy was throwing his gun to the doctor, the naked guy is taking a bite out of something, it looks like a whistle, okay, it looks like it worked, all right, the chef is laughing at the robber, the poet is making an offer for the book to the doctor, okay, the waitress is showing an apple to the clown, the waitress is running, cowboy tossing a banana to the kid, princess washing something, that's what it looked like, my, yeah, it looked like something else that was x-rated to me first and then a gun, all righty, let's see, chef is cutting a cake, waitress touching a snorkeler, pirate giving an apple to the doctor, kid smiling at the monk, chef fighting with sailor, chef burning his hat, chef is burning his hat, all righty, let's see, kid is, oh, artist is swiping his palette, actually he is, yes, artist is, yes, snapping a picture with an invisible camera of his palette, okay, continue, sorry, oh, I'm sorry to hear that, well, this was more fun than I thought it would be, oh, thank you, and I think we're, I'm copying my completion code, so you have a great night, thanks, bye	chef	book	doctor	low	PO	01HNEAMRJGM9S41MEY2CXGZAV6	1950c301-eeb6-45b5-af75-0e86ef8c8526.mp4
throw	Hello, hello, I can hear you, great, all right, I'm hitting continue, great, okay, the chef wanted to sell a book to the doctor, okay, continue, the waitress tried to catch the guy falling, junior tried to reach for the glass, the cowboy was throwing his gun, oh, the, hold on, the cowboy was throwing his gun to the doctor, the naked guy is taking a bite out of something, it looks like a whistle, okay, it looks like it worked, all right, the chef is laughing at the robber, the poet is making an offer for the book to the doctor, okay, the waitress is showing an apple to the clown, the waitress is running, cowboy tossing a banana to the kid, princess washing something, that's what it looked like, my, yeah, it looked like something else that was x-rated to me first and then a gun, all righty, let's see, chef is cutting a cake, waitress touching a snorkeler, pirate giving an apple to the doctor, kid smiling at the monk, chef fighting with sailor, chef burning his hat, chef is burning his hat, all righty, let's see, kid is, oh, artist is swiping his palette, actually he is, yes, artist is, yes, snapping a picture with an invisible camera of his palette, okay, continue, sorry, oh, I'm sorry to hear that, well, this was more fun than I thought it would be, oh, thank you, and I think we're, I'm copying my completion code, so you have a great night, thanks, bye	cowboy	gun	doctor	high	PO	01HNEAMRJGM9S41MEY2CXGZAV6	1950c301-eeb6-45b5-af75-0e86ef8c8526.mp4
